"convocatoria","area","questions","option_A","option_B","option_C","option_D","correct_answer"
"Examenes_2025_II","7084225-enfermeria_claves","Un joven de 30 años en una comunidad se cae del puente sufriendo múltiples lesiones, encontrándose en una zona 
de difícil acceso; inmediatamente los pobladores, el agente de salud, el gobernador; coordinan su traslado al 
establecimiento de salud. ¿A que tipo de vigilancia corresponde?","De atención","Epidemiológica","De escenarios","Comunitaria en salud","D"
"Examenes_2025_II","7084225-enfermeria_claves","Madre acude al establecimiento de salud con su recién nacido, comenta que su niño no reacciona con sonidos 
fuertes desde que fue dado de alta; por lo que se le realiza el cribado neonatal para descartar hipoacusia. ¿Este 
cribado a qué tipo de prevención corresponde?","Primordial","Primaria","Secundaria","Terciaria","C"
"Examenes_2025_II","7084225-enfermeria_claves","La relación médico-paciente se basa fundamentalmente en los principios de ...... y ...... pero cuando estos principios 
entran en conflicto, a menudo por la escasez de recursos, es el principio de justicia el que entra en juego para 
mediar entre ellos.","equidad/beneficencia","beneficencia/ autonomía","autonomía/justicia","no maleficencia/ autonomía","B"
"Examenes_2025_II","7084225-enfermeria_claves","Alberto cría 50 gallinas y 50 patos en su vivienda, acude al centro porque la mitad de sus aves amanecieron muertas 
y muchas tienen ""moquillo"", quiere comprar alguna medicina para tratar a su aves enfermas. ¿A qué tipo de evento 
corresponde el caso y cuál es la conducta a seguir?","Es una zoonosis y debe reportarse al sistema de vigilancia epidemiológica","Es una epizootia y debe notificarse al sistema de vigilancia epidemiológica","Es un evento usual y su manejo solo corresponde a SENASA y al municipio","Es una zoonosis y se debe eliminar a las aves enfermas en coordinación con el municipio","B"
"Examenes_2025_II","7084225-enfermeria_claves","En el establecimiento de salud el personal atiende a un poblador de 75 años con catarata bilateral, desde hace 6 
meses conoce su diagnóstico. ¿A qué grupo enfermedades pertenece?","Congénitas","No transmisibles","Raras","Huérfanas","B"
"Examenes_2025_II","7084225-enfermeria_claves","Niño de 3 años es llevado por su tía para control de CRED en un establecimiento  de categoría I-1, durante la 
atención se toma conocimiento de fallecimiento de sus padres. ¿Cuál es la conducta a seguir con la tutora del niño 
después de culminar la atención?","Hacer de conocimiento a la DEMUNA, INABIF, CEM o un similar para el seguimiento del caso","Referencia a un CSMC, o a un EESS I-3, I-4 que cuente con psicólogo","Brindar consejería en salud mental a la tía y elaborar el plan de atención individualizado","Referencia a un establecimiento I-2 para evaluación de síntomas ansiosos, depresivos","B"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es la terapia preventiva de la tuberculosis en contactos de casos con TB sensible a administrar en menores 
de 2 años, como primera elección?","P + R y como alternativa H + R o sólo H","H + R y como alternativa administrar sólo H","P + H y como alternativa H + R o sólo H","P + H y como alternativa H + R o sólo P","B"
"Examenes_2025_II","7084225-enfermeria_claves","El puesto de salud Miaria de categoría I-2, se atiende a un niño de 9 meses con diagnóstico de dengue con signos 
de alarma; que no puede ser referido por inaccesibilidad geográfica debido al incremento del caudal del río. 
¿Qué acción puede ayudarle al personal a tomar decisiones adecuadas respecto al manejo clínico del niño?","Teleinterconsulta con especialista","Telecapacitación con médico de microrred","Teleorientación con especialista","Teleconsulta con la red de salud","A"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cómo se denomina al proceso que se inicia con la exposición de un huésped susceptible a un agente causal y 
termina con la recuperación, la discapacidad o la muerte?","Proceso salud enfermedad","Periodo patogénico de la enfermedad","Período prepatogénico de la enfermedad","Historia natural de la enfermedad","D"
"Examenes_2025_II","7084225-enfermeria_claves","En una comunidad nativa, se reporta un caso confirmado de rabia en bovino y desde la presencia de mineros 
informales se observan murciélagos que vuelan por la noche. ¿Cuál es la medida más efectiva para prevenir 
transmisión de rabia silvestre en esa comunidad?","Eliminación de refugios de murciélagos con la comunidad organizada","Organización de la comunidad para la captura de murciélagos","Proteger con vacuna pre exposición a toda la comunidad","Colocar mallas en todas las viviendas de la comunidad","C"
"Examenes_2025_II","7084225-enfermeria_claves","Mujer de 56 años, viene al establecimiento de salud, refiere preocupación porque está subiendo de peso en los 
últimos 3 meses. Hace 6 meses menopáusica con tratamiento no hormonal. ¿Sobre la prevención o control de qué 
riesgo debe orientarla?","De insuficiencia renal","De obesidad","De depresión","De ACV","B"
"Examenes_2025_II","7084225-enfermeria_claves","Ingresa al establecimiento de salud gestante de 28 semanas, con antecedente de haber sido vacunada contra 
tétanos y difteria combinada con pertusis (Tdap) en su anterior gestación. ¿Cuál es la indicación respecto a la 
Tdap?","1ra dosis al contacto y 2da dosis después de 2 meses","No requiere vacunación","Aplicarle una dosis","Una dosis en el puerperio","C"
"Examenes_2025_II","7084225-enfermeria_claves","Durante la visita a la comunidad los vecinos indican que un vecino se encuentra solo en su domicilio, el personal 
verifica que se trata de un adulto mayor con signos de desnutrición y descuidado. ¿Qué actitud debe tomar el 
personal de salud?","Cuidado integral e integrado de salud del adulto mayor en la comunidad","Invitarlo a ser parte del círculo del adulto mayor que tiene la municipalidad","El personal no tiene responsabilidad en en el marco de sus competencias","Buscar a sus familiares para que se hagan cargo del adulto mayor","A"
"Examenes_2025_II","7084225-enfermeria_claves","En un establecimiento de salud de Apurímac, una puérpera inmediata le pide a la obstetra que su placenta le sea 
devuelta para seguir una tradición ancestral, a lo cual ella accede respetuosamente. Esto es un ejemplo de 
aplicación del enfoque ...... en salud materna.","intercultural","transcultural","incultural","acultural","A"
"Examenes_2025_II","7084225-enfermeria_claves","La madre de familia asiste para su atención de CRED es atendida por el  profesional de salud registrando datos del 
procedimiento en la historia clínica, se percata del error en el registro. la corrección se debe hacer trazando una 
...... sobre el mismo y escribiendo el término correcto por encima de la línea, anotando la fecha, firma y sello de la 
persona responsable de la corrección.","doble línea azul","línea punteada de cualquier color","línea con lapicero rojo","línea con corrector","C"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es el indicador del estándar de atención de calidad que evita el desperdicio de recursos, incluidos equipos, 
medicamentos, energía e ideas?","Efectividad","Eficiencia","Oportunidad","Eficacia","B"
"Examenes_2025_II","7084225-enfermeria_claves","El hospital regional de Amazonas, ante un caso de gestante de 28 semanas con diagnóstico de espina bífida, 
solicita una ….... a los médicos especialistas del Instituto Materno Perinatal, con el fin de compartir recursos de 
información y conocimiento para la toma conjunta de decisiones.","telegestión","telemonitoreo","teleconsultoría","telejuntamédica","D"
"Examenes_2025_II","7084225-enfermeria_claves","Al realizar la inducción a profesionales del SERUMS 2025-II del establecimiento de salud; se les capacita sobre 
los principios, tecnologías y prácticas de contención que se implementan en el establecimiento para prevenir la 
exposición no intencional a agentes biológicos. ¿A qué corresponde esta definición?","Bioseguridad","Buenas prácticas","Probabilidad de incidente","Medidas de control","A"
"Examenes_2025_II","7084225-enfermeria_claves","El profesional de salud del establecimiento en el análisis de situación de salud local obtiene una información base 
al inicio de un nuevo ciclo de planificación, para respaldar decisiones del nivel local. Esta información es 
aplicada  por los equipos de...","DISA.","planificación.","gestión.","intervención.","C"
"Examenes_2025_II","7084225-enfermeria_claves","Se reporta un huayco con desborde de río que ha provocado inundación en la comunidad La Paz, afectando el 
sistema eléctrico y de agua potable. ¿Cuáles son las líneas de intervención en el marco de la vigilancia 
epidemiológica posterior a desastre?","Búsqueda de personas desaparecidas y damnificadas","Garantizar la atención psicológica a los afectados","Implementar un sistema de referencia comunal","Evaluación del riesgo potencial epidémico e implementación de la sala de situación de salud","D"
"Examenes_2025_II","7084225-enfermeria_claves","Madre de familia acude al establecimiento de salud con su hijo de 2 años 6 meses, para CRED, donde se le 
diagnostica anemia. ¿Qué número de controles de hemoglobina se llevará a cabo según su edad?","2","4","más de 5","3","B"
"Examenes_2025_II","7084225-enfermeria_claves","En un centro de salud I-4 se presenta tres casos de endometritis en puérperas mediatas post parto normal en la 
sala de internamiento, de acuerdo a la investigación se observa que los materiales de atención de parto no estaban 
adecuadamente esterilizados. ¿A qué corresponde cada uno de estos eventos?","Infección puerperal","Infección intrahospitalaria","IAAS","Brote de endometritis","C"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es el tipo de gestión que se encarga de planificar, organizar, dirigir y controlar las actividades de trabajo de 
manera transversal y secuencial en las diferentes unidades de organización?","Por procesos","Por objetivos","Orientada a resultados","De la calidad","A"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cómo se denomina a la metodología orientada a facilitar el acuerdo y la articulación entre representantes del 
sistema de salud, medicina tradicional y popular permitiendo un mutuo aprendizaje, especialmente con los pueblos 
indígenas y las poblaciones afroperuanas?","Medicina tradicional","Diálogo intercultural en salud","Medicina popular","Salud intercultural","B"
"Examenes_2025_II","7084225-enfermeria_claves","Profesional de la salud requiere implementar estrategias para que su establecimiento reduzca al mínimo el impacto 
ambiental negativo en el área de hospitalización. ¿Cuál de las siguientes debe implementar primero?","Control","Capacitación","Supervisión","Monitoreo","B"
